lcl|NC_000962.3_prot_NP_214515.1_1	cds-NP_214515.1
lcl|NC_000962.3_prot_NP_214516.1_2	cds-NP_214516.1
lcl|NC_000962.3_prot_NP_214517.1_3	cds-NP_214517.1
lcl|NC_000962.3_prot_NP_214518.1_4	cds-NP_214518.1
lcl|NC_000962.3_prot_NP_214519.2_5	cds-NP_214519.2
lcl|NC_000962.3_prot_NP_214520.1_6	cds-NP_214520.1
lcl|NC_000962.3_prot_NP_214521.1_7	cds-NP_214521.1
lcl|NC_000962.3_prot_NP_214522.1_8	cds-NP_214522.1
lcl|NC_000962.3_prot_NP_214523.1_9	cds-NP_214523.1
lcl|NC_000962.3_prot_NP_214524.1_10	cds-NP_214524.1
lcl|NC_000962.3_prot_NP_214525.1_11	cds-NP_214525.1
lcl|NC_000962.3_prot_NP_214526.1_12	cds-NP_214526.1
lcl|NC_000962.3_prot_YP_177615.1_13	cds-YP_177615.1
lcl|NC_000962.3_prot_NP_214528.1_14	cds-NP_214528.1
lcl|NC_000962.3_prot_NP_214529.1_15	cds-NP_214529.1
lcl|NC_000962.3_prot_NP_214530.1_16	cds-NP_214530.1
lcl|NC_000962.3_prot_NP_214531.1_17	cds-NP_214531.1
lcl|NC_000962.3_prot_NP_214532.1_18	cds-NP_214532.1
lcl|NC_000962.3_prot_NP_214533.1_19	cds-NP_214533.1
lcl|NC_000962.3_prot_NP_214534.1_20	cds-NP_214534.1
lcl|NC_000962.3_prot_NP_214535.1_21	cds-NP_214535.1
lcl|NC_000962.3_prot_NP_214536.1_22	cds-NP_214536.1
lcl|NC_000962.3_prot_NP_214537.1_23	cds-NP_214537.1
lcl|NC_000962.3_prot_NP_214538.1_24	cds-NP_214538.1
lcl|NC_000962.3_prot_NP_214539.1_25	cds-NP_214539.1
lcl|NC_000962.3_prot_NP_214540.1_26	cds-NP_214540.1
lcl|NC_000962.3_prot_NP_214541.1_27	cds-NP_214541.1
lcl|NC_000962.3_prot_NP_214542.1_28	cds-NP_214542.1
lcl|NC_000962.3_prot_NP_214543.1_29	cds-NP_214543.1
lcl|NC_000962.3_prot_NP_214544.1_30	cds-NP_214544.1
lcl|NC_000962.3_prot_NP_214546.1_31	cds-NP_214546.1
lcl|NC_000962.3_prot_NP_214547.1_32	cds-NP_214547.1
lcl|NC_000962.3_prot_NP_214548.1_33	cds-NP_214548.1
lcl|NC_000962.3_prot_YP_177686.1_34	cds-YP_177686.1
lcl|NC_000962.3_prot_NP_214550.1_35	cds-NP_214550.1
lcl|NC_000962.3_prot_NP_214551.1_36	cds-NP_214551.1
lcl|NC_000962.3_prot_NP_214552.1_37	cds-NP_214552.1
lcl|NC_000962.3_prot_NP_214553.1_38	cds-NP_214553.1
lcl|NC_000962.3_prot_NP_214554.2_39	cds-NP_214554.2
